conversion_id;created_at;updated_at;status;sub_id_4;sub_id_5;sub_id_7;ts;campaign_group;country;revenue;currency;click_id
900045;2025-02-28 12:30:00;2025-02-28 12:30:00;sale;trafficback;;c4adb484dc0b8;Broker CO;Finance CO;co;17.05;USD;ret_co_538__3
900054;2025-03-02 12:45:00;2025-03-02 12:45:00;sale;trafficback;;fd66d9ec6d61c;Broker CO;Finance CO;co;19.05;USD;ret_co_549__3
900055;2024-07-16 09:15:00;2024-07-16 09:15:00;sale;CPA;764_;63f6c8eebc233;Broker ES;Finance ES;es;48.0;USD;clk_es_764__0
900056;2024-07-17 09:15:00;2024-07-17 09:15:00;sale;CPA;764_;63f6c8eebc233;Broker ES;Other;es;999.0;USD;noise_es_764__0
900064;2024-07-18 09:30:00;2024-07-18 09:30:00;sale;CPA;854_;95f1c90b23356;Broker ES;Finance ES;es;55.0;USD;clk_es_854__0
900065;2024-07-19 09:30:00;2024-07-19 09:30:00;sale;CPA;854_;95f1c90b23356;Broker ES;Other;es;999.0;USD;noise_es_854__0
900073;2024-07-20 09:45:00;2024-07-20 09:45:00;sale;CPA;781_13765;0ba2e648a2748;Broker ES;Finance ES;es;62.0;USD;clk_es_781_13765_0
900074;2024-07-21 09:45:00;2024-07-21 09:45:00;sale;CPA;781_13765;0ba2e648a2748;Broker ES;Other;es;999.0;USD;noise_es_781_13765_0
900057;2024-08-11 09:15:00;2024-08-11 09:15:00;sale;email;;63f6c8eebc233;Broker ES;Finance ES;es;10.6;USD;ret_es_764__0
900066;2024-08-13 09:30:00;2024-08-13 09:30:00;sale;email;;95f1c90b23356;Broker ES;Finance ES;es;12.6;USD;ret_es_854__0
900075;2024-08-15 09:45:00;2024-08-15 09:45:00;sale;email;;0ba2e648a2748;Broker ES;Finance ES;es;14.6;USD;ret_es_781_13765_0
900058;2024-08-27 10:15:00;2024-08-27 10:15:00;sale;CPA;764_;51994bd311f83;Broker ES;Finance ES;es;53.0;USD;clk_es_764__1
900067;2024-08-29 10:30:00;2024-08-29 10:30:00;sale;CPA;854_;e12e106089444;Broker ES;Finance ES;es;60.0;USD;clk_es_854__1
900076;2024-08-31 10:45:00;2024-08-31 10:45:00;sale;CPA;781_13765;2b0e92e1f4536;Broker ES;Finance ES;es;67.0;USD;clk_es_781_13765_1
900059;2024-10-06 10:15:00;2024-10-06 10:15:00;sale;sms;;51994bd311f83;Broker ES;Finance ES;es;12.35;USD;ret_es_764__1
900068;2024-10-08 10:30:00;2024-10-08 10:30:00;sale;sms;;e12e106089444;Broker ES;Finance ES;es;14.35;USD;ret_es_854__1
900077;2024-10-10 10:45:00;2024-10-10 10:45:00;sale;sms;;2b0e92e1f4536;Broker ES;Finance ES;es;16.35;USD;ret_es_781_13765_1
900060;2024-11-11 11:15:00;2024-11-11 11:15:00;sale;CPA;764_;e16299ea14a18;Broker ES;Finance ES;es;58.0;USD;clk_es_764__2
900069;2024-11-13 11:30:00;2024-11-13 11:30:00;sale;CPA;854_;7348b54548808;Broker ES;Finance ES;es;65.0;USD;clk_es_854__2
900078;2024-11-15 11:45:00;2024-11-15 11:45:00;sale;CPA;781_13765;1cff2f821ae08;Broker ES;Finance ES;es;72.0;USD;clk_es_781_13765_2
900061;2024-12-02 11:15:00;2024-12-02 11:15:00;sale;push;;e16299ea14a18;Broker ES;Finance ES;es;14.1;USD;ret_es_764__2
900070;2024-12-04 11:30:00;2024-12-04 11:30:00;sale;push;;7348b54548808;Broker ES;Finance ES;es;16.1;USD;ret_es_854__2
900079;2024-12-06 11:45:00;2024-12-06 11:45:00;sale;push;;1cff2f821ae08;Broker ES;Finance ES;es;18.1;USD;ret_es_781_13765_2
900062;2025-02-15 12:15:00;2025-02-15 12:15:00;lead;CPA;764_;ef4a8cb042b82;Broker ES;Finance ES;es;0.0;USD;clk_es_764__3
900071;2025-02-17 12:30:00;2025-02-17 12:30:00;lead;CPA;854_;e7aeb0819aad8;Broker ES;Finance ES;es;0.0;USD;clk_es_854__3
900080;2025-02-19 12:45:00;2025-02-19 12:45:00;lead;CPA;781_13765;908d2e3fb9ab5;Broker ES;Finance ES;es;0.0;USD;clk_es_781_13765_3
900063;2025-02-27 12:15:00;2025-02-27 12:15:00;sale;trafficback;;ef4a8cb042b82;Broker ES;Finance ES;es;15.85;USD;ret_es_764__3
900072;2025-03-01 12:30:00;2025-03-01 12:30:00;sale;trafficback;;e7aeb0819aad8;Broker ES;Finance ES;es;17.85;USD;ret_es_854__3
900081;2025-03-03 12:45:00;2025-03-03 12:45:00;sale;trafficback;;908d2e3fb9ab5;Broker ES;Finance ES;es;19.85;USD;ret_es_781_13765_3
900001;2024-07-14 09:15:00;2024-07-14 09:15:00;sale;CPA;104_56;c7b0ca680941e;Broker MX;Finance MX;mx;42.0;USD;clk_mx_104_56_0
900002;2024-07-15 09:15:00;2024-07-15 09:15:00;sale;CPA;104_56;c7b0ca680941e;Broker MX;Other;mx;999.0;USD;noise_mx_104_56_0
900010;2024-07-16 09:30:00;2024-07-16 09:30:00;sale;CPA;104_88;b6c8b73478ede;Broker MX;Finance MX;mx;49.0;USD;clk_mx_104_88_0
900011;2024-07-17 09:30:00;2024-07-17 09:30:00;sale;CPA;104_88;b6c8b73478ede;Broker MX;Other;mx;999.0;USD;noise_mx_104_88_0
900019;2024-07-18 09:45:00;2024-07-18 09:45:00;sale;CPA;207_14;a01ab1ef47eff;Broker MX;Finance MX;mx;56.0;USD;clk_mx_207_14_0
900020;2024-07-19 09:45:00;2024-07-19 09:45:00;sale;CPA;207_14;a01ab1ef47eff;Broker MX;Other;mx;999.0;USD;noise_mx_207_14_0
900003;2024-08-09 09:15:00;2024-08-09 09:15:00;sale;email;;c7b0ca680941e;Broker MX;Finance MX;mx;9.0;USD;ret_mx_104_56_0
900012;2024-08-11 09:30:00;2024-08-11 09:30:00;sale;email;;b6c8b73478ede;Broker MX;Finance MX;mx;11.0;USD;ret_mx_104_88_0
900021;2024-08-13 09:45:00;2024-08-13 09:45:00;sale;email;;a01ab1ef47eff;Broker MX;Finance MX;mx;13.0;USD;ret_mx_207_14_0
900004;2024-08-25 10:15:00;2024-08-25 10:15:00;sale;CPA;104_56;1591bdaba4902;Broker MX;Finance MX;mx;47.0;USD;clk_mx_104_56_1
900013;2024-08-27 10:30:00;2024-08-27 10:30:00;sale;CPA;104_88;ae16041a0e75f;Broker MX;Finance MX;mx;54.0;USD;clk_mx_104_88_1
900022;2024-08-29 10:45:00;2024-08-29 10:45:00;sale;CPA;207_14;c73448c3184f8;Broker MX;Finance MX;mx;61.0;USD;clk_mx_207_14_1
900005;2024-10-04 10:15:00;2024-10-04 10:15:00;sale;sms;;1591bdaba4902;Broker MX;Finance MX;mx;10.75;USD;ret_mx_104_56_1
900014;2024-10-06 10:30:00;2024-10-06 10:30:00;sale;sms;;ae16041a0e75f;Broker MX;Finance MX;mx;12.75;USD;ret_mx_104_88_1
900023;2024-10-08 10:45:00;2024-10-08 10:45:00;sale;sms;;c73448c3184f8;Broker MX;Finance MX;mx;14.75;USD;ret_mx_207_14_1
900006;2024-11-09 11:15:00;2024-11-09 11:15:00;sale;CPA;104_56;8384277f06d6c;Broker MX;Finance MX;mx;52.0;USD;clk_mx_104_56_2
900015;2024-11-11 11:30:00;2024-11-11 11:30:00;sale;CPA;104_88;0bd651462ed16;Broker MX;Finance MX;mx;59.0;USD;clk_mx_104_88_2
900024;2024-11-13 11:45:00;2024-11-13 11:45:00;sale;CPA;207_14;c8fb4e6b27214;Broker MX;Finance MX;mx;66.0;USD;clk_mx_207_14_2
900007;2024-11-30 11:15:00;2024-11-30 11:15:00;sale;push;;8384277f06d6c;Broker MX;Finance MX;mx;12.5;USD;ret_mx_104_56_2
900016;2024-12-02 11:30:00;2024-12-02 11:30:00;sale;push;;0bd651462ed16;Broker MX;Finance MX;mx;14.5;USD;ret_mx_104_88_2
900025;2024-12-04 11:45:00;2024-12-04 11:45:00;sale;push;;c8fb4e6b27214;Broker MX;Finance MX;mx;16.5;USD;ret_mx_207_14_2
900008;2025-02-13 12:15:00;2025-02-13 12:15:00;lead;CPA;104_56;3631d9dc54ed4;Broker MX;Finance MX;mx;0.0;USD;clk_mx_104_56_3
900017;2025-02-15 12:30:00;2025-02-15 12:30:00;lead;CPA;104_88;c7b08405dfff7;Broker MX;Finance MX;mx;0.0;USD;clk_mx_104_88_3
900026;2025-02-17 12:45:00;2025-02-17 12:45:00;lead;CPA;207_14;9d5181d953035;Broker MX;Finance MX;mx;0.0;USD;clk_mx_207_14_3
900009;2025-02-25 12:15:00;2025-02-25 12:15:00;sale;trafficback;;3631d9dc54ed4;Broker MX;Finance MX;mx;14.25;USD;ret_mx_104_56_3
900018;2025-02-27 12:30:00;2025-02-27 12:30:00;sale;trafficback;;c7b08405dfff7;Broker MX;Finance MX;mx;16.25;USD;ret_mx_104_88_3
900027;2025-03-01 12:45:00;2025-03-01 12:45:00;sale;trafficback;;9d5181d953035;Broker MX;Finance MX;mx;18.25;USD;ret_mx_207_14_3
900109;2024-07-18 09:15:00;2024-07-18 09:15:00;sale;CPA;11_;91f9d84742153;Broker PH;Finance PH;ph;54.0;USD;clk_ph_11__0
900110;2024-07-19 09:15:00;2024-07-19 09:15:00;sale;CPA;11_;91f9d84742153;Broker PH;Other;ph;999.0;USD;noise_ph_11__0
900118;2024-07-20 09:30:00;2024-07-20 09:30:00;sale;CPA;140_1644614500398542;0750c69eac0d3;Broker PH;Finance PH;ph;61.0;USD;clk_ph_140_1644614500398542_0
900119;2024-07-21 09:30:00;2024-07-21 09:30:00;sale;CPA;140_1644614500398542;0750c69eac0d3;Broker PH;Other;ph;999.0;USD;noise_ph_140_1644614500398542_0
900127;2024-07-22 09:45:00;2024-07-22 09:45:00;sale;CPA;140_2995637193635763;bf2c4faeb66f2;Broker PH;Finance PH;ph;68.0;USD;clk_ph_140_2995637193635763_0
900128;2024-07-23 09:45:00;2024-07-23 09:45:00;sale;CPA;140_2995637193635763;bf2c4faeb66f2;Broker PH;Other;ph;999.0;USD;noise_ph_140_2995637193635763_0
900111;2024-08-13 09:15:00;2024-08-13 09:15:00;sale;email;;91f9d84742153;Broker PH;Finance PH;ph;12.2;USD;ret_ph_11__0
900120;2024-08-15 09:30:00;2024-08-15 09:30:00;sale;email;;0750c69eac0d3;Broker PH;Finance PH;ph;14.2;USD;ret_ph_140_1644614500398542_0
900129;2024-08-17 09:45:00;2024-08-17 09:45:00;sale;email;;bf2c4faeb66f2;Broker PH;Finance PH;ph;16.2;USD;ret_ph_140_2995637193635763_0
900112;2024-08-29 10:15:00;2024-08-29 10:15:00;sale;CPA;11_;725c3cdc70c8c;Broker PH;Finance PH;ph;59.0;USD;clk_ph_11__1
900121;2024-08-31 10:30:00;2024-08-31 10:30:00;sale;CPA;140_1644614500398542;e217a7c156d22;Broker PH;Finance PH;ph;66.0;USD;clk_ph_140_1644614500398542_1
900130;2024-09-02 10:45:00;2024-09-02 10:45:00;sale;CPA;140_2995637193635763;fc7a7f9f6516b;Broker PH;Finance PH;ph;73.0;USD;clk_ph_140_2995637193635763_1
900113;2024-10-08 10:15:00;2024-10-08 10:15:00;sale;sms;;725c3cdc70c8c;Broker PH;Finance PH;ph;13.95;USD;ret_ph_11__1
900122;2024-10-10 10:30:00;2024-10-10 10:30:00;sale;sms;;e217a7c156d22;Broker PH;Finance PH;ph;15.95;USD;ret_ph_140_1644614500398542_1
900131;2024-10-12 10:45:00;2024-10-12 10:45:00;sale;sms;;fc7a7f9f6516b;Broker PH;Finance PH;ph;17.95;USD;ret_ph_140_2995637193635763_1
900114;2024-11-13 11:15:00;2024-11-13 11:15:00;sale;CPA;11_;b7bd55c4f1226;Broker PH;Finance PH;ph;64.0;USD;clk_ph_11__2
900123;2024-11-15 11:30:00;2024-11-15 11:30:00;sale;CPA;140_1644614500398542;022e4a0305cd7;Broker PH;Finance PH;ph;71.0;USD;clk_ph_140_1644614500398542_2
900132;2024-11-17 11:45:00;2024-11-17 11:45:00;sale;CPA;140_2995637193635763;aa6523246f7dc;Broker PH;Finance PH;ph;78.0;USD;clk_ph_140_2995637193635763_2
900115;2024-12-04 11:15:00;2024-12-04 11:15:00;sale;push;;b7bd55c4f1226;Broker PH;Finance PH;ph;15.7;USD;ret_ph_11__2
900124;2024-12-06 11:30:00;2024-12-06 11:30:00;sale;push;;022e4a0305cd7;Broker PH;Finance PH;ph;17.7;USD;ret_ph_140_1644614500398542_2
900133;2024-12-08 11:45:00;2024-12-08 11:45:00;sale;push;;aa6523246f7dc;Broker PH;Finance PH;ph;19.7;USD;ret_ph_140_2995637193635763_2
900116;2025-02-17 12:15:00;2025-02-17 12:15:00;lead;CPA;11_;4137756a5a0d8;Broker PH;Finance PH;ph;0.0;USD;clk_ph_11__3
900125;2025-02-19 12:30:00;2025-02-19 12:30:00;lead;CPA;140_1644614500398542;714795776a2be;Broker PH;Finance PH;ph;0.0;USD;clk_ph_140_1644614500398542_3
900134;2025-02-21 12:45:00;2025-02-21 12:45:00;lead;CPA;140_2995637193635763;bb4e77d576b20;Broker PH;Finance PH;ph;0.0;USD;clk_ph_140_2995637193635763_3
900117;2025-03-01 12:15:00;2025-03-01 12:15:00;sale;trafficback;;4137756a5a0d8;Broker PH;Finance PH;ph;17.45;USD;ret_ph_11__3
900126;2025-03-03 12:30:00;2025-03-03 12:30:00;sale;trafficback;;714795776a2be;Broker PH;Finance PH;ph;19.45;USD;ret_ph_140_1644614500398542_3
900135;2025-03-05 12:45:00;2025-03-05 12:45:00;sale;trafficback;;bb4e77d576b20;Broker PH;Finance PH;ph;21.45;USD;ret_ph_140_2995637193635763_3
900082;2024-07-17 09:15:00;2024-07-17 09:15:00;sale;CPA;370_3954;3d81ff718ee4e;Broker RO;Finance RO;ro;51.0;USD;clk_ro_370_3954_0
900083;2024-07-18 09:15:00;2024-07-18 09:15:00;sale;CPA;370_3954;3d81ff718ee4e;Broker RO;Other;ro;999.0;USD;noise_ro_370_3954_0
900091;2024-07-19 09:30:00;2024-07-19 09:30:00;sale;CPA;598_;225558e3afd64;Broker RO;Finance RO;ro;58.0;USD;clk_ro_598__0
900092;2024-07-20 09:30:00;2024-07-20 09:30:00;sale;CPA;598_;225558e3afd64;Broker RO;Other;ro;999.0;USD;noise_ro_598__0
900100;2024-07-21 09:45:00;2024-07-21 09:45:00;sale;CPA;781_2884;8635326a5c664;Broker RO;Finance RO;ro;65.0;USD;clk_ro_781_2884_0
900101;2024-07-22 09:45:00;2024-07-22 09:45:00;sale;CPA;781_2884;8635326a5c664;Broker RO;Other;ro;999.0;USD;noise_ro_781_2884_0
900084;2024-08-12 09:15:00;2024-08-12 09:15:00;sale;email;;3d81ff718ee4e;Broker RO;Finance RO;ro;11.4;USD;ret_ro_370_3954_0
900093;2024-08-14 09:30:00;2024-08-14 09:30:00;sale;email;;225558e3afd64;Broker RO;Finance RO;ro;13.4;USD;ret_ro_598__0
900102;2024-08-16 09:45:00;2024-08-16 09:45:00;sale;email;;8635326a5c664;Broker RO;Finance RO;ro;15.4;USD;ret_ro_781_2884_0
900085;2024-08-28 10:15:00;2024-08-28 10:15:00;sale;CPA;370_3954;6f1a286bfa8b1;Broker RO;Finance RO;ro;56.0;USD;clk_ro_370_3954_1
900094;2024-08-30 10:30:00;2024-08-30 10:30:00;sale;CPA;598_;9201591bb6018;Broker RO;Finance RO;ro;63.0;USD;clk_ro_598__1
900103;2024-09-01 10:45:00;2024-09-01 10:45:00;sale;CPA;781_2884;c4177033adcbf;Broker RO;Finance RO;ro;70.0;USD;clk_ro_781_2884_1
900086;2024-10-07 10:15:00;2024-10-07 10:15:00;sale;sms;;6f1a286bfa8b1;Broker RO;Finance RO;ro;13.15;USD;ret_ro_370_3954_1
900095;2024-10-09 10:30:00;2024-10-09 10:30:00;sale;sms;;9201591bb6018;Broker RO;Finance RO;ro;15.15;USD;ret_ro_598__1
900104;2024-10-11 10:45:00;2024-10-11 10:45:00;sale;sms;;c4177033adcbf;Broker RO;Finance RO;ro;17.15;USD;ret_ro_781_2884_1
900087;2024-11-12 11:15:00;2024-11-12 11:15:00;sale;CPA;370_3954;8862e3eb63256;Broker RO;Finance RO;ro;61.0;USD;clk_ro_370_3954_2
900096;2024-11-14 11:30:00;2024-11-14 11:30:00;sale;CPA;598_;270e6f7ea67ed;Broker RO;Finance RO;ro;68.0;USD;clk_ro_598__2
900105;2024-11-16 11:45:00;2024-11-16 11:45:00;sale;CPA;781_2884;ac0a70dced610;Broker RO;Finance RO;ro;75.0;USD;clk_ro_781_2884_2
900088;2024-12-03 11:15:00;2024-12-03 11:15:00;sale;push;;8862e3eb63256;Broker RO;Finance RO;ro;14.9;USD;ret_ro_370_3954_2
900097;2024-12-05 11:30:00;2024-12-05 11:30:00;sale;push;;270e6f7ea67ed;Broker RO;Finance RO;ro;16.9;USD;ret_ro_598__2
900106;2024-12-07 11:45:00;2024-12-07 11:45:00;sale;push;;ac0a70dced610;Broker RO;Finance RO;ro;18.9;USD;ret_ro_781_2884_2
900089;2025-02-16 12:15:00;2025-02-16 12:15:00;lead;CPA;370_3954;4b82c07c6d029;Broker RO;Finance RO;ro;0.0;USD;clk_ro_370_3954_3
900098;2025-02-18 12:30:00;2025-02-18 12:30:00;lead;CPA;598_;b043f17bda90d;Broker RO;Finance RO;ro;0.0;USD;clk_ro_598__3
900107;2025-02-20 12:45:00;2025-02-20 12:45:00;lead;CPA;781_2884;9c21ef3f05780;Broker RO;Finance RO;ro;0.0;USD;clk_ro_781_2884_3
900090;2025-02-28 12:15:00;2025-02-28 12:15:00;sale;trafficback;;4b82c07c6d029;Broker RO;Finance RO;ro;16.65;USD;ret_ro_370_3954_3
900099;2025-03-02 12:30:00;2025-03-02 12:30:00;sale;trafficback;;b043f17bda90d;Broker RO;Finance RO;ro;18.65;USD;ret_ro_598__3
900108;2025-03-04 12:45:00;2025-03-04 12:45:00;sale;trafficback;;9c21ef3f05780;Broker RO;Finance RO;ro;20.65;USD;ret_ro_781_2884_3
900136;2024-07-19 09:15:00;2024-07-19 09:15:00;sale;CPA;140_1257440795;edae94f472ee5;Broker VN;Finance VN;vn;57.0;USD;clk_vn_140_1257440795_0
900137;2024-07-20 09:15:00;2024-07-20 09:15:00;sale;CPA;140_1257440795;edae94f472ee5;Broker VN;Other;vn;999.0;USD;noise_vn_140_1257440795_0
900145;2024-07-21 09:30:00;2024-07-21 09:30:00;sale;CPA;140_3521351548556801;de4c140857ae4;Broker VN;Finance VN;vn;64.0;USD;clk_vn_140_3521351548556801_0
900146;2024-07-22 09:30:00;2024-07-22 09:30:00;sale;CPA;140_3521351548556801;de4c140857ae4;Broker VN;Other;vn;999.0;USD;noise_vn_140_3521351548556801_0
900154;2024-07-23 09:45:00;2024-07-23 09:45:00;sale;CPA;140_9106426134293962;e7409bfd159a5;Broker VN;Finance VN;vn;71.0;USD;clk_vn_140_9106426134293962_0
900155;2024-07-24 09:45:00;2024-07-24 09:45:00;sale;CPA;140_9106426134293962;e7409bfd159a5;Broker VN;Other;vn;999.0;USD;noise_vn_140_9106426134293962_0
900138;2024-08-14 09:15:00;2024-08-14 09:15:00;sale;email;;edae94f472ee5;Broker VN;Finance VN;vn;13.0;USD;ret_vn_140_1257440795_0
900147;2024-08-16 09:30:00;2024-08-16 09:30:00;sale;email;;de4c140857ae4;Broker VN;Finance VN;vn;15.0;USD;ret_vn_140_3521351548556801_0
900156;2024-08-18 09:45:00;2024-08-18 09:45:00;sale;email;;e7409bfd159a5;Broker VN;Finance VN;vn;17.0;USD;ret_vn_140_9106426134293962_0
900139;2024-08-30 10:15:00;2024-08-30 10:15:00;sale;CPA;140_1257440795;cba78d9fe6b03;Broker VN;Finance VN;vn;62.0;USD;clk_vn_140_1257440795_1
900148;2024-09-01 10:30:00;2024-09-01 10:30:00;sale;CPA;140_3521351548556801;adeb466645afc;Broker VN;Finance VN;vn;69.0;USD;clk_vn_140_3521351548556801_1
900157;2024-09-03 10:45:00;2024-09-03 10:45:00;sale;CPA;140_9106426134293962;4e3294e806700;Broker VN;Finance VN;vn;76.0;USD;clk_vn_140_9106426134293962_1
900140;2024-10-09 10:15:00;2024-10-09 10:15:00;sale;sms;;cba78d9fe6b03;Broker VN;Finance VN;vn;14.75;USD;ret_vn_140_1257440795_1
900149;2024-10-11 10:30:00;2024-10-11 10:30:00;sale;sms;;adeb466645afc;Broker VN;Finance VN;vn;16.75;USD;ret_vn_140_3521351548556801_1
900158;2024-10-13 10:45:00;2024-10-13 10:45:00;sale;sms;;4e3294e806700;Broker VN;Finance VN;vn;18.75;USD;ret_vn_140_9106426134293962_1
900141;2024-11-14 11:15:00;2024-11-14 11:15:00;sale;CPA;140_1257440795;6a11dc157fca2;Broker VN;Finance VN;vn;67.0;USD;clk_vn_140_1257440795_2
900150;2024-11-16 11:30:00;2024-11-16 11:30:00;sale;CPA;140_3521351548556801;7a565a9ad203e;Broker VN;Finance VN;vn;74.0;USD;clk_vn_140_3521351548556801_2
900159;2024-11-18 11:45:00;2024-11-18 11:45:00;sale;CPA;140_9106426134293962;82a6e50fbedb2;Broker VN;Finance VN;vn;81.0;USD;clk_vn_140_9106426134293962_2
900142;2024-12-05 11:15:00;2024-12-05 11:15:00;sale;push;;6a11dc157fca2;Broker VN;Finance VN;vn;16.5;USD;ret_vn_140_1257440795_2
900151;2024-12-07 11:30:00;2024-12-07 11:30:00;sale;push;;7a565a9ad203e;Broker VN;Finance VN;vn;18.5;USD;ret_vn_140_3521351548556801_2
900160;2024-12-09 11:45:00;2024-12-09 11:45:00;sale;push;;82a6e50fbedb2;Broker VN;Finance VN;vn;20.5;USD;ret_vn_140_9106426134293962_2
900143;2025-02-18 12:15:00;2025-02-18 12:15:00;lead;CPA;140_1257440795;35f74bc2d055c;Broker VN;Finance VN;vn;0.0;USD;clk_vn_140_1257440795_3
900152;2025-02-20 12:30:00;2025-02-20 12:30:00;lead;CPA;140_3521351548556801;271827251dde5;Broker VN;Finance VN;vn;0.0;USD;clk_vn_140_3521351548556801_3
900161;2025-02-22 12:45:00;2025-02-22 12:45:00;lead;CPA;140_9106426134293962;091d2974679c3;Broker VN;Finance VN;vn;0.0;USD;clk_vn_140_9106426134293962_3
900144;2025-03-02 12:15:00;2025-03-02 12:15:00;sale;trafficback;;35f74bc2d055c;Broker VN;Finance VN;vn;18.25;USD;ret_vn_140_1257440795_3
900153;2025-03-04 12:30:00;2025-03-04 12:30:00;sale;trafficback;;271827251dde5;Broker VN;Finance VN;vn;20.25;USD;ret_vn_140_3521351548556801_3
900162;2025-03-06 12:45:00;2025-03-06 12:45:00;sale;trafficback;;091d2974679c3;Broker VN;Finance VN;vn;22.25;USD;ret_vn_140_9106426134293962_3
